modo,tempo,pessoa,aux,conjugado
indikativ,präsens,ich,,lächle
indikativ,präsens,du,,lächelst
indikativ,präsens,er/sie/es,,lächelt
indikativ,präsens,wir,,lächeln
indikativ,präsens,ihr,,lächelt
indikativ,präsens,sie/Sie,,lächeln
indikativ,präteritum,ich,,lächelte
indikativ,präteritum,du,,lächeltest
indikativ,präteritum,er/sie/es,,lächelte
indikativ,präteritum,wir,,lächelten
indikativ,präteritum,ihr,,lächeltet
indikativ,präteritum,sie/Sie,,lächelten
indikativ,perfekt,ich,habe,gelächelt
indikativ,perfekt,du,hast,gelächelt
indikativ,perfekt,er/sie/es,hat,gelächelt
indikativ,perfekt,wir,haben,gelächelt
indikativ,perfekt,ihr,habt,gelächelt
indikativ,perfekt,sie/Sie,haben,gelächelt
indikativ,plusquamperfekt,ich,hatte,gelächelt
indikativ,plusquamperfekt,du,hattest,gelächelt
indikativ,plusquamperfekt,er/sie/es,hatte,gelächelt
indikativ,plusquamperfekt,wir,hatten,gelächelt
indikativ,plusquamperfekt,ihr,hattet,gelächelt
indikativ,plusquamperfekt,sie/Sie,hatten,gelächelt
indikativ,futur I,ich,werde,lächeln
indikativ,futur I,du,wirst,lächeln
indikativ,futur I,er/sie/es,wird,lächeln
indikativ,futur I,wir,werden,lächeln
indikativ,futur I,ihr,werdet,lächeln
indikativ,futur I,sie/Sie,werden,lächeln
indikativ,futur II,ich,werde,gelächelt haben
indikativ,futur II,du,wirst,gelächelt haben
indikativ,futur II,er/sie/es,wird,gelächelt haben
indikativ,futur II,wir,werden,gelächelt haben
indikativ,futur II,ihr,werdet,gelächelt haben
indikativ,futur II,sie/Sie,werden,gelächelt haben
konjunktiv I,präsens,ich,,lächle
konjunktiv I,präsens,du,,lächelest
konjunktiv I,präsens,er/sie/es,,lächle
konjunktiv I,präsens,wir,,lächeln
konjunktiv I,präsens,ihr,,lächelet
konjunktiv I,präsens,sie/Sie,,lächeln
konjunktiv I,perfekt,ich,habe,gelächelt
konjunktiv I,perfekt,du,habest,gelächelt
konjunktiv I,perfekt,er/sie/es,habe,gelächelt
konjunktiv I,perfekt,wir,haben,gelächelt
konjunktiv I,perfekt,ihr,habet,gelächelt
konjunktiv I,perfekt,sie/Sie,haben,gelächelt
konjunktiv II,präteritum,ich,,lächelte
konjunktiv II,präteritum,du,,lächeltest
konjunktiv II,präteritum,er/sie/es,,lächelte
konjunktiv II,präteritum,wir,,lächelten
konjunktiv II,präteritum,ihr,,lächeltet
konjunktiv II,präteritum,sie/Sie,,lächelten
konjunktiv II,perfekt,ich,hätte,gelächelt
konjunktiv II,perfekt,du,hättest,gelächelt
konjunktiv II,perfekt,er/sie/es,hätte,gelächelt
konjunktiv II,perfekt,wir,hätten,gelächelt
konjunktiv II,perfekt,ihr,hättet,gelächelt
konjunktiv II,perfekt,sie/Sie,hätten,gelächelt
konjunktiv II,futur I,ich,würde,lächeln
konjunktiv II,futur I,du,würdest,lächeln
konjunktiv II,futur I,er/sie/es,würde,lächeln
konjunktiv II,futur I,wir,würden,lächeln
konjunktiv II,futur I,ihr,würdet,lächeln
konjunktiv II,futur I,sie/Sie,würden,lächeln
imperativ,imperativ,du,,lächle!
imperativ,imperativ,ihr,,lächelt!
imperativ,imperativ,Sie,,lächeln Sie!
