Categoria,Posicao,Cod_dekoreba,English,French,German,Italian,Portuguese,Spanish
artigos,1,1,the,le,der,lo,o,lo
artigos,2,1,him,la,ihn,il,a,el
artigos,3,1,it,les,das,gli,as,la
artigos,1,2,to,à,zu,a,a,a
artigos,2,2,at,la,nach,verso,para,hacia
artigos,3,2,toward,le,an,in,o,en
artigos,1,3,the,les,der,gli,os,el
artigos,2,3,them,le,das,i,a,las
artigos,3,3,,la,die,le,as,los
artigos,1,4,the,le,der,gli,as,el
artigos,2,4,them,les,das,i,a,las
artigos,3,4,,la,die,le,o,los
artigos,1,5,one,un,eins,uno,um,uno
artigos,2,5,an,une,ein,un,uma,un
artigos,3,5,a,quelconque,eine,una,algum,una
artigos,1,6,one,un,ein,uno,uma,un
artigos,2,6,an,une,eins,una,um,una
artigos,3,6,a,osmotique,eine,un,uma vez,uno
artigos,1,7,some,d’aucuns,einige,qualcuno,uns,unos
artigos,2,7,some people,certains,irgendwer,un,alguns,unas
artigos,3,7,somebody,un,mancher dieser und jener,,umas,alguien
artigos,1,8,a,un,eine,un,umas,unas
artigos,2,8,an,une,,,uns,unos
artigos,3,8,of the,des,,,um,un
artigos,1,9,I,je,ich,io,eu,yo
artigos,2,9,me,moi,Ich,,me,mi
artigos,3,9,self,j’,,,mim,
conjuncoes,1,10,until,jusqu’à,bis,fino a,até,hasta
conjuncoes,2,10,till,jusqu'à,bis zu,perfino,até agora,hasta que
conjuncoes,3,10,up to,à,nach,finché,até então,hacia
conjuncoes,1,11,with,avec,mit,con,com,con
conjuncoes,2,11,aboard,à,bei,a,em,a
conjuncoes,3,11,by,de,für,dentro,a,al lado de
conjuncoes,1,12,against,contre,gegen,contro,contra,contra
conjuncoes,2,12,fight,face à,kontra,combattere,combater,en contra
conjuncoes,3,12,versus,en face de,wider,in confronto,lutar com,versus
conjuncoes,1,13,of,de,von,da,de,de
conjuncoes,2,13,from,dès,aus,di,com,desde
conjuncoes,3,13,out of,par,über,dalla,em,por
conjuncoes,1,14,since,depuis,seit,da,desde,desde
