modo,tempo,pessoa,aux,conjugado
indicative,simple present,I,,smile
indicative,simple present,you,,smile
indicative,simple present,he/she/it,,smiles
indicative,simple present,we,,smile
indicative,simple present,you,,smile
indicative,simple present,they,,smile

indicative,present continuous,I,am,smiling
indicative,present continuous,you,are,smiling
indicative,present continuous,he/she/it,is,smiling
indicative,present continuous,we,are,smiling
indicative,present continuous,you,are,smiling
indicative,present continuous,they,are,smiling

indicative,simple past,I,,smiled
indicative,simple past,you,,smiled
indicative,simple past,he/she/it,,smiled
indicative,simple past,we,,smiled
indicative,simple past,you,,smiled
indicative,simple past,they,,smiled

indicative,past continuous,I,was,smiling
indicative,past continuous,you,were,smiling
indicative,past continuous,he/she/it,was,smiling
indicative,past continuous,we,were,smiling
indicative,past continuous,you,were,smiling
indicative,past continuous,they,were,smiling

indicative,present perfect,I,have,smiled
indicative,present perfect,you,have,smiled
indicative,present perfect,he/she/it,has,smiled
indicative,present perfect,we,have,smiled
indicative,present perfect,you,have,smiled
indicative,present perfect,they,have,smiled

indicative,present perfect continuous,I,have been,smiling
indicative,present perfect continuous,you,have been,smiling
indicative,present perfect continuous,he/she/it,has been,smiling
indicative,present perfect continuous,we,have been,smiling
indicative,present perfect continuous,you,have been,smiling
indicative,present perfect continuous,they,have been,smiling

indicative,past perfect,I,had,smiled
indicative,past perfect,you,had,smiled
indicative,past perfect,he/she/it,had,smiled
indicative,past perfect,we,had,smiled
indicative,past perfect,you,had,smiled
indicative,past perfect,they,had,smiled

indicative,past perfect continuous,I,had been,smiling
indicative,past perfect continuous,you,had been,smiling
indicative,past perfect continuous,he/she/it,had been,smiling
indicative,past perfect continuous,we,had been,smiling
indicative,past perfect continuous,you,had been,smiling
indicative,past perfect continuous,they,had been,smiling

indicative,future,I,will,smile
indicative,future,you,will,smile
indicative,future,he/she/it,will,smile
indicative,future,we,will,smile
indicative,future,you,will,smile
indicative,future,they,will,smile

indicative,future continuous,I,will be,smiling
indicative,future continuous,you,will be,smiling
indicative,future continuous,he/she/it,will be,smiling
indicative,future continuous,we,will be,smiling
indicative,future continuous,you,will be,smiling
indicative,future continuous,they,will be,smiling

indicative,future perfect,I,will have,smiled
indicative,future perfect,you,will have,smiled
indicative,future perfect,he/she/it,will have,smiled
indicative,future perfect,we,will have,smiled
indicative,future perfect,you,will have,smiled
indicative,future perfect,they,will have,smiled

indicative,future perfect continuous,I,will have been,smiling
indicative,future perfect continuous,you,will have been,smiling
indicative,future perfect continuous,he/she/it,will have been,smiling
indicative,future perfect continuous,we,will have been,smiling
indicative,future perfect continuous,you,will have been,smiling
indicative,future perfect continuous,they,will have been,smiling

conditional,simple,I,would,smile
conditional,simple,you,would,smile
conditional,simple,he/she/it,would,smile
conditional,simple,we,would,smile
conditional,simple,you,would,smile
conditional,simple,they,would,smile

conditional,progressive,I,would be,smiling
conditional,progressive,you,would be,smiling
conditional,progressive,he/she/it,would be,smiling
conditional,progressive,we,would be,smiling
conditional,progressive,you,would be,smiling
conditional,progressive,they,would be,smiling

conditional,perfect,I,would have,smiled
conditional,perfect,you,would have,smiled
conditional,perfect,he/she/it,would have,smiled
conditional,perfect,we,would have,smiled
conditional,perfect,you,would have,smiled
conditional,perfect,they,would have,smiled

conditional,perfect progressive,I,would have been,smiling
conditional,perfect progressive,you,would have been,smiling
conditional,perfect progressive,he/she/it,would have been,smiling
conditional,perfect progressive,we,would have been,smiling
conditional,perfect progressive,you,would have been,smiling
conditional,perfect progressive,they,would have been,smiling
